Year,Glob,NHem,SHem,N. Extratropics,Tropics,S. Extratropics,Arctic,N. Temperate,N. Subtropics,N. Tropics,S. Tropics,S. Subtropics,S. Temperate,Antarctic
1897,-0.12,-0.19,-0.05,-0.37,0.14,-0.23,-0.59,-0.48,-0.25,0.1,0.19,-0.19,-0.27,0.42
1898,-0.29,-0.31,-0.26,-0.37,-0.24,-0.26,-1.2,-0.26,-0.24,-0.22,-0.27,-0.27,-0.21,0.39
1899,-0.19,-0.23,-0.14,-0.25,-0.14,-0.18,-1.09,-0.11,-0.15,-0.19,-0.09,-0.15,-0.22,0.6
1900,-0.09,-0.11,-0.07,-0.22,0.15,-0.3,-0.6,-0.18,-0.16,0.06,0.24,-0.28,-0.29,0.29
1901,-0.17,-0.14,-0.19,-0.18,-0.06,-0.3,-0.42,-0.13,-0.15,-0.09,-0.03,-0.27,-0.33,0.28
1902,-0.29,-0.35,-0.23,-0.55,-0.06,-0.35,-1.57,-0.53,-0.32,-0.05,-0.07,-0.28,-0.43,-0.03
1903,-0.38,-0.4,-0.37,-0.48,-0.31,-0.38,-0.27,-0.44,-0.57,-0.27,-0.35,-0.35,-0.4,-0.49
1904,-0.48,-0.5,-0.46,-0.53,-0.48,-0.44,-0.25,-0.62,-0.56,-0.47,-0.5,-0.37,-0.49,-1.31
1905,-0.27,-0.31,-0.23,-0.42,-0.1,-0.36,-0.09,-0.25,-0.63,-0.14,-0.07,-0.33,-0.37,-0.33
1906,-0.23,-0.25,-0.21,-0.27,-0.21,-0.23,-0.31,-0.08,-0.39,-0.23,-0.19,-0.2,-0.22,-0.71
1907,-0.4,-0.49,-0.31,-0.6,-0.32,-0.29,-0.62,-0.74,-0.52,-0.32,-0.32,-0.21,-0.37,-1.19
1908,-0.44,-0.47,-0.41,-0.49,-0.46,-0.36,-0.27,-0.56,-0.51,-0.45,-0.47,-0.29,-0.48,0.68
1909,-0.5,-0.51,-0.48,-0.54,-0.5,-0.44,-0.77,-0.64,-0.44,-0.47,-0.54,-0.37,-0.52,-0.56
1910,-0.45,-0.46,-0.44,-0.43,-0.51,-0.38,-0.63,-0.25,-0.49,-0.51,-0.51,-0.33,-0.45,0.16
1911,-0.45,-0.44,-0.47,-0.43,-0.45,-0.48,-0.29,-0.43,-0.47,-0.45,-0.46,-0.44,-0.52,0.06
1912,-0.38,-0.48,-0.26,-0.6,-0.22,-0.37,-0.53,-0.8,-0.5,-0.31,-0.12,-0.37,-0.29,-1.63
1913,-0.35,-0.44,-0.27,-0.45,-0.29,-0.35,-0.49,-0.34,-0.51,-0.42,-0.16,-0.28,-0.4,-1.03
1914,-0.16,-0.21,-0.11,-0.25,-0.08,-0.18,-0.39,-0.18,-0.28,-0.14,-0.03,-0.15,-0.18,-0.36
1915,-0.15,-0.15,-0.14,-0.24,-0.02,-0.22,-0.62,-0.18,-0.18,-0.02,-0.03,-0.15,-0.23,-1.98
1916,-0.37,-0.43,-0.31,-0.38,-0.46,-0.23,-0.54,-0.56,-0.24,-0.51,-0.42,-0.23,-0.17,-1.04
1917,-0.47,-0.59,-0.36,-0.51,-0.65,-0.19,-0.84,-0.52,-0.43,-0.7,-0.59,-0.23,-0.09,0.07
1918,-0.3,-0.41,-0.21,-0.42,-0.35,-0.14,-1.04,-0.29,-0.35,-0.4,-0.3,-0.06,-0.22,-0.28
1919,-0.28,-0.36,-0.21,-0.44,-0.21,-0.22,-0.72,-0.57,-0.3,-0.24,-0.18,-0.15,-0.32,0.2
1920,-0.28,-0.31,-0.24,-0.26,-0.27,-0.32,-0.04,-0.22,-0.35,-0.39,-0.14,-0.19,-0.48,-1.14
1921,-0.2,-0.12,-0.27,0.0,-0.27,-0.31,-0.03,0.16,-0.1,-0.31,-0.23,-0.23,-0.38,-0.83
1922,-0.29,-0.28,-0.3,-0.25,-0.33,-0.27,-0.3,-0.42,-0.14,-0.34,-0.33,-0.24,-0.28,-0.27
1923,-0.27,-0.23,-0.31,-0.16,-0.31,-0.34,0.17,-0.16,-0.26,-0.33,-0.29,-0.27,-0.41,-0.54
1924,-0.28,-0.19,-0.36,-0.13,-0.27,-0.43,0.5,-0.26,-0.23,-0.28,-0.26,-0.4,-0.45,-0.53
1925,-0.23,-0.15,-0.3,-0.04,-0.25,-0.38,-0.06,0.16,-0.19,-0.29,-0.22,-0.25,-0.55,-0.86
1926,-0.11,0.01,-0.22,0.02,0.0,-0.4,0.57,0.15,-0.22,-0.01,0.01,-0.35,-0.45,-0.63
1927,-0.22,-0.14,-0.3,-0.13,-0.17,-0.38,0.03,-0.23,-0.13,-0.15,-0.19,-0.31,-0.45,-1.38
1928,-0.21,-0.11,-0.29,-0.08,-0.16,-0.39,0.66,-0.18,-0.23,-0.16,-0.17,-0.29,-0.48,-2.12
1929,-0.37,-0.34,-0.38,-0.38,-0.29,-0.45,0.12,-0.62,-0.38,-0.29,-0.29,-0.43,-0.44,-1.07
1930,-0.16,-0.02,-0.29,0.04,-0.12,-0.42,0.5,0.04,-0.11,-0.1,-0.13,-0.33,-0.46,-2.59
1931,-0.1,0.04,-0.22,0.01,0.07,-0.43,0.56,-0.04,-0.14,0.09,0.05,-0.42,-0.4,-0.41
1932,-0.17,-0.07,-0.26,0.03,-0.17,-0.35,0.46,0.19,-0.22,-0.2,-0.14,-0.21,-0.53,-0.98
1933,-0.29,-0.26,-0.32,-0.24,-0.29,-0.34,-0.15,-0.47,-0.13,-0.29,-0.29,-0.22,-0.48,-1.14
1934,-0.13,-0.01,-0.25,0.17,-0.26,-0.26,0.89,0.31,-0.13,-0.27,-0.25,-0.16,-0.38,-0.56
1935,-0.2,-0.1,-0.3,-0.05,-0.19,-0.37,0.33,-0.05,-0.17,-0.18,-0.2,-0.31,-0.41,-1.71
1936,-0.15,-0.04,-0.26,-0.03,-0.14,-0.3,0.41,0.11,-0.26,-0.06,-0.21,-0.27,-0.32,-0.03
1937,-0.03,0.11,-0.18,0.19,-0.06,-0.22,1.23,0.03,-0.03,0.0,-0.12,-0.19,-0.25,0.37
1938,0.0,0.16,-0.18,0.39,-0.23,-0.1,1.52,0.39,0.03,-0.19,-0.27,-0.06,-0.11,-0.86
1939,-0.02,0.08,-0.13,0.22,-0.13,-0.12,0.55,0.28,0.08,-0.13,-0.13,-0.05,-0.18,-1.6
1940,0.12,0.16,0.09,0.1,0.27,-0.07,0.99,-0.02,-0.1,0.25,0.29,0.03,-0.2,-0.05
1941,0.18,0.22,0.16,0.01,0.48,-0.05,0.01,-0.1,0.08,0.53,0.43,0.03,-0.15,-0.46
1942,0.06,0.11,0.01,0.12,0.07,-0.01,0.72,-0.07,0.05,0.1,0.03,0.05,-0.05,-0.9
1943,0.08,0.17,-0.01,0.37,-0.1,0.04,1.43,0.28,0.11,-0.12,-0.07,0.07,0.0,1.14
1944,0.2,0.27,0.14,0.38,0.18,0.05,1.18,0.47,0.1,0.1,0.26,0.18,-0.09,-0.97
1945,0.09,0.11,0.09,0.11,0.17,-0.03,0.65,-0.02,0.04,0.1,0.24,0.04,0.0,-1.81
1946,-0.07,0.03,-0.17,0.06,-0.05,-0.24,-0.03,-0.05,0.17,-0.03,-0.08,-0.22,-0.24,-0.21
1947,-0.03,0.08,-0.13,0.16,-0.06,-0.16,1.07,-0.13,0.04,-0.03,-0.09,-0.19,-0.08,-0.23
1948,-0.11,-0.02,-0.2,0.13,-0.18,-0.24,0.12,0.32,0.01,-0.23,-0.14,-0.19,-0.19,-1.42
1949,-0.11,-0.03,-0.19,0.11,-0.19,-0.23,0.2,0.17,0.05,-0.23,-0.15,-0.17,-0.15,-2.02
1950,-0.18,-0.15,-0.21,-0.05,-0.29,-0.14,0.18,-0.3,0.04,-0.3,-0.28,-0.06,-0.16,-0.86
1951,-0.07,0.04,-0.18,0.08,-0.06,-0.23,0.07,0.01,0.12,-0.01,-0.12,-0.22,-0.16,-0.7
1952,0.01,0.06,-0.03,0.11,0.02,-0.09,0.27,-0.09,0.19,-0.01,0.04,-0.1,-0.02,-0.54
1953,0.08,0.24,-0.07,0.36,0.07,-0.18,1.03,0.36,0.14,0.08,0.06,-0.08,-0.24,-1.14
1954,-0.13,-0.02,-0.25,0.07,-0.22,-0.22,0.8,-0.21,0.0,-0.14,-0.29,-0.17,-0.2,-0.82
1955,-0.14,-0.09,-0.2,0.05,-0.34,-0.06,-0.23,-0.11,0.24,-0.29,-0.38,-0.16,-0.08,1.2
1956,-0.19,-0.23,-0.16,-0.2,-0.33,0.01,0.01,-0.48,-0.08,-0.29,-0.37,-0.13,0.02,0.77
1957,0.05,0.04,0.06,0.03,0.08,0.02,0.09,0.22,-0.11,0.06,0.1,-0.09,-0.02,0.49
1958,0.06,0.15,-0.03,0.08,0.21,-0.15,-0.18,0.14,0.13,0.26,0.15,-0.08,-0.08,-0.55
1959,0.03,0.13,-0.06,0.16,0.07,-0.16,0.49,0.18,0.05,0.07,0.08,-0.03,-0.26,-0.39
1960,-0.02,0.08,-0.13,0.09,0.02,-0.2,0.34,-0.07,0.11,0.06,-0.02,-0.1,-0.07,-0.78
1961,0.06,0.09,0.03,0.19,-0.03,0.05,-0.16,0.37,0.18,-0.07,0.0,0.14,-0.17,0.21
1962,0.03,0.13,-0.06,0.24,-0.05,-0.07,0.44,0.3,0.14,-0.04,-0.05,0.09,-0.08,-0.65
1963,0.05,0.14,-0.03,0.14,0.12,-0.12,-0.16,0.31,0.13,0.13,0.1,-0.1,-0.17,-0.03
1964,-0.2,-0.19,-0.2,-0.23,-0.14,-0.24,-0.66,-0.2,-0.11,-0.14,-0.15,-0.3,-0.07,-0.37
1965,-0.11,-0.14,-0.07,-0.19,-0.03,-0.13,-0.28,-0.24,-0.12,-0.08,0.02,-0.23,-0.03,0.0
1966,-0.06,-0.02,-0.09,-0.14,0.08,-0.15,-0.76,-0.19,0.09,0.16,-0.01,-0.24,-0.14,0.13
1967,-0.02,0.03,-0.08,0.12,-0.14,-0.01,0.36,0.26,-0.05,-0.11,-0.17,-0.09,-0.02,0.31
1968,-0.08,-0.07,-0.09,-0.11,-0.07,-0.08,-0.33,-0.02,-0.09,-0.02,-0.11,-0.14,0.0,-0.07
1969,0.05,-0.03,0.14,-0.29,0.33,0.02,-0.04,-0.61,-0.17,0.35,0.32,0.0,0.13,-0.15
1970,0.03,-0.04,0.09,-0.11,0.07,0.11,-0.2,-0.13,-0.07,0.06,0.07,0.11,0.03,0.35
1971,-0.08,-0.15,-0.01,-0.06,-0.26,0.13,-0.08,0.01,-0.1,-0.3,-0.22,0.03,0.16,0.49
1972,0.01,-0.18,0.2,-0.34,0.17,0.15,-0.37,-0.47,-0.25,0.07,0.27,0.16,-0.02,0.48
