Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1952,.01,.06,-.03,.11,.02,-.09,.27,-.09,.19,-.01,.04,-.10,-.02,-.54
1953,.08,.24,-.07,.36,.07,-.18,1.03,.36,.14,.08,.06,-.08,-.24,-1.14
1954,-.13,-.02,-.25,.07,-.22,-.22,.80,-.21,.00,-.14,-.29,-.17,-.20,-.82
1955,-.14,-.09,-.20,.05,-.34,-.06,-.23,-.11,.24,-.29,-.38,-.16,-.08,1.20
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.48,-.08,-.29,-.37,-.13,.02,.77
1957,.05,.04,.06,.03,.08,.02,.09,.22,-.11,.06,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.21,-.15,-.18,.14,.13,.26,.15,-.08,-.08,-.55
1959,.03,.13,-.06,.16,.07,-.16,.49,.18,.05,.07,.08,-.03,-.26,-.39
1960,-.02,.08,-.13,.09,.02,-.20,.34,-.07,.11,.06,-.02,-.10,-.07,-.78
1961,.06,.09,.03,.19,-.03,.05,-.16,.37,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.07,.44,.30,.14,-.04,-.05,.09,-.08,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.03
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.66,-.20,-.11,-.14,-.15,-.30,-.07,-.37
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,.00
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.13
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.31
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.07
1969,.05,-.03,.14,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.15
1970,.03,-.04,.09,-.11,.07,.11,-.20,-.13,-.07,.06,.07,.11,.03,.35
1971,-.08,-.15,-.01,-.06,-.26,.13,-.08,.01,-.10,-.30,-.22,.03,.16,.49
1972,.01,-.18,.20,-.34,.17,.15,-.37,-.47,-.25,.07,.27,.16,-.02,.48
1973,.16,.09,.23,.10,.19,.18,.06,.27,.01,.08,.30,.21,.08,.35
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.08,.66
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.31
1976,-.10,-.21,.01,-.26,-.11,.09,-.08,-.32,-.28,-.13,-.10,.10,.22,-.22
1977,.18,.12,.24,.13,.16,.25,.16,.24,.06,.10,.22,.21,.31,.28
1978,.07,.02,.11,-.03,.08,.15,-.16,.04,-.04,.10,.05,.20,.13,.03
1979,.16,.08,.25,-.03,.26,.23,-.61,.07,.08,.26,.27,.29,.33,-.21
1980,.26,.17,.34,.06,.31,.38,.25,.02,.02,.33,.29,.35,.37,.57
1981,.32,.37,.27,.48,.18,.36,1.09,.79,.08,.22,.14,.28,.39,.62
1982,.14,.05,.23,-.08,.27,.18,-.40,.09,-.09,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.25,.18,.69,-.07,.29,.57,.21,.41,.10
1984,.16,.04,.27,.01,.18,.26,.36,.08,-.14,.07,.29,.16,.32,.54
1985,.12,.00,.24,-.03,.09,.31,.39,-.26,-.02,.04,.13,.30,.44,.07
1986,.18,.13,.23,.10,.22,.20,.00,.28,.03,.18,.27,.25,.25,-.09
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.41,.40,.37,.40,.59,.57,.24,.32,.42,.38,.20,.93
1989,.27,.27,.28,.40,.13,.34,.32,.69,.25,.07,.19,.36,.30,.41
1990,.45,.53,.37,.63,.37,.37,.58,.88,.49,.38,.36,.37,.37,.37
1991,.41,.41,.40,.47,.37,.40,.75,.66,.26,.33,.41,.31,.29,.98
1992,.22,.14,.31,.09,.29,.27,-.17,.44,-.03,.20,.37,.20,.33,.41
1993,.23,.19,.28,.13,.32,.22,.54,.29,-.11,.29,.36,.27,.39,-.28
1994,.32,.37,.26,.43,.31,.21,.34,.50,.42,.28,.34,.26,.23,-.02
1995,.45,.58,.32,.70,.42,.22,1.31,.98,.32,.40,.44,.29,.15,.16
1996,.33,.26,.40,.23,.32,.45,.76,.17,.10,.31,.32,.33,.28,1.32
1997,.47,.52,.42,.53,.51,.34,.76,.90,.23,.50,.52,.42,.36,.04
1998,.61,.71,.51,.78,.69,.32,.86,.94,.66,.60,.79,.39,.31,.14
1999,.38,.48,.28,.70,.20,.30,.40,.80,.74,.16,.25,.46,.19,.02
2000,.39,.50,.29,.70,.24,.29,.97,.80,.55,.21,.28,.42,.10,.27
2001,.53,.64,.43,.80,.42,.42,1.06,.86,.68,.40,.44,.58,.24,.25
2002,.63,.71,.55,.83,.60,.48,1.25,1.00,.58,.55,.64,.50,.31,.79
2003,.62,.75,.49,.84,.64,.36,1.50,.98,.54,.61,.67,.44,.24,.37
2004,.53,.66,.41,.73,.55,.32,.46,.95,.66,.56,.54,.48,.23,-.04
2005,.68,.86,.50,1.01,.62,.42,1.99,1.22,.57,.62,.62,.49,.18,.68
2006,.64,.82,.46,.99,.56,.40,1.76,1.06,.70,.57,.55,.51,.19,.45
2007,.67,.85,.48,1.12,.46,.48,2.08,1.32,.69,.45,.48,.50,.07,1.28
2008,.54,.68,.41,.91,.38,.40,1.53,1.07,.61,.33,.42,.53,.08,.64
2009,.66,.72,.59,.78,.68,.51,1.42,.60,.68,.65,.71,.60,.15,.99
2010,.73,.90,.55,1.03,.68,.48,2.24,.87,.74,.72,.65,.63,.20,.54
2011,.61,.74,.47,.98,.37,.56,2.32,.94,.58,.39,.35,.64,.19,1.10
2012,.65,.80,.49,1.03,.52,.43,2.13,.93,.74,.48,.57,.56,.20,.46
2013,.68,.80,.56,.94,.58,.54,1.53,1.04,.69,.58,.58,.63,.23,.88
2014,.75,.92,.58,1.08,.67,.53,2.05,1.14,.73,.69,.65,.72,.19,.56
2015,.90,1.18,.63,1.32,.96,.40,2.02,1.48,.99,.98,.94,.75,.20,-.34
2016,1.01,1.31,.73,1.54,1.01,.49,3.25,1.43,1.07,.96,1.06,.67,.28,.37
2017,.92,1.17,.67,1.38,.81,.60,2.50,1.38,1.03,.86,.76,.76,.38,.52
2018,.85,1.04,.66,1.25,.68,.69,2.16,1.09,1.06,.74,.62,.79,.41,.91
2019,.98,1.22,.75,1.43,.90,.64,2.77,1.43,1.00,.91,.89,.74,.41,.80
2020,1.01,1.34,.67,1.66,.85,.57,2.86,1.80,1.19,.88,.82,.59,.40,.85
2021,.85,1.14,.55,1.43,.65,.53,2.07,1.36,1.27,.72,.58,.73,.33,.30
2022,.90,1.16,.62,1.52,.57,.71,2.35,1.50,1.27,.63,.50,.79,.41,1.08
2023,1.17,1.50,.86,1.78,1.06,.72,2.57,1.86,1.47,1.08,1.04,.90,.46,.62
2024,1.28,1.65,.91,1.95,1.19,.74,2.90,1.95,1.65,1.22,1.16,.88,.54,.68
2025,1.19,1.49,.89,1.92,.85,.92,3.00,1.99,1.53,.85,.85,.97,.55,1.57
