year,population,gdp,co2,co2_per_capita,co2_including_luc,cumulative_co2,coal_co2,oil_co2,gas_co2,energy_per_capita,primary_energy_consumption,total_ghg,methane,nitrous_oxide,temperature_change_from_co2,temperature_change_from_ghg
1903,1667064512.0,,2264.592,1.358,6927.692,51472.352,2161.955,85.56,14.528,,,9232.675,1993.062,314.923,0.104,0.144
1904,1681154888.0,,2290.255,1.362,7062.163,53762.609,2174.434,96.073,15.165,,,9386.916,2008.754,318.858,0.108,0.148
1905,1695427510.0,,2440.571,1.44,7244.465,56203.18,2320.898,97.01,17.17,,,9598.302,2034.716,322.94,0.111,0.152
1906,1709887300.0,,2548.978,1.491,7420.486,58752.156,2425.449,97.878,19.027,,,9810.574,2067.422,327.073,0.114,0.157
1907,1724558347.0,,2904.949,1.684,7778.838,61657.105,2758.979,119.41,19.877,,,10223.97,2118.715,331.165,0.118,0.162
1908,1739441480.0,,2790.395,1.604,7711.734,64447.5,2635.282,128.779,19.676,,,10160.848,2118.962,335.119,0.121,0.166
1909,1753729257.0,,2907.112,1.658,7906.798,67354.609,2740.823,134.358,23.523,,,10389.171,2148.511,338.844,0.125,0.171
1910,1767417985.0,,3050.273,1.726,7848.428,70404.883,2871.834,144.094,24.915,,,10362.357,2176.739,342.243,0.128,0.176
1911,1780422213.0,,3097.207,1.74,7862.826,73502.094,2909.144,152.815,25.718,,,10403.387,2199.417,346.16,0.132,0.181
1912,1792912374.0,,3253.929,1.815,7921.23,76756.023,3058.476,157.161,28.315,,,10492.065,2224.523,351.324,0.135,0.186
1913,1804803374.0,,3524.846,1.953,8145.113,80280.867,3302.354,181.957,29.598,,,10765.312,2267.487,357.466,0.139,0.191
1914,1816884694.0,,3197.75,1.76,7824.466,83478.617,2971.226,186.003,30.136,,,10426.166,2242.119,364.317,0.142,0.196
1915,1829102909.0,,3148.031,1.721,7701.369,86626.648,2908.266,197.563,31.866,,,10321.157,2252.633,371.608,0.146,0.201
1916,1841395693.0,,3400.232,1.847,7941.577,90026.875,3135.505,215.195,38.377,,,10612.145,2295.854,379.071,0.15,0.206
1917,1853777065.0,,3556.499,1.919,8015.733,93583.375,3265.622,239.365,40.509,,,10726.378,2328.266,386.437,0.153,0.211
1918,1866778878.0,,3506.085,1.878,7922.89,97089.461,3215.897,245.023,36.519,,,10633.156,2320.688,393.439,0.157,0.215
1919,1880624916.0,,3041.113,1.617,7426.347,100130.578,2720.155,273.411,37.948,,,10112.27,2289.866,399.806,0.16,0.22
1920,1895426673.0,4824948231242.0,3546.758,1.871,8323.49,103677.336,3132.616,361.039,41.685,,,11081.009,2355.954,405.271,0.164,0.225
1921,1910916276.0,,3114.994,1.63,8100.611,106792.328,2672.104,397.27,34.992,,,10820.044,2312.747,410.452,0.167,0.23
1922,1927207651.0,,3264.717,1.694,8321.306,110057.047,2773.434,438.308,40.107,,,11096.396,2362.89,416.042,0.171,0.235
1923,1944216846.0,,3702.996,1.905,8871.153,113760.039,3149.715,485.534,52.526,,,11732.04,2442.978,421.878,0.175,0.24
1924,1961489200.0,,3716.143,1.895,8830.048,117476.18,3155.952,484.185,59.709,,,11725.088,2471.417,427.799,0.179,0.246
1925,1979027667.0,,3740.633,1.89,8989.484,121216.82,3153.677,505.524,63.923,,,11913.61,2494.91,433.645,0.183,0.251
1926,1996813608.0,,3677.407,1.842,8943.637,124894.227,3084.044,506.47,69.145,,,11881.277,2503.082,439.253,0.187,0.256
1927,2014848732.0,,4012.947,1.992,9284.173,128907.172,3364.399,554.148,76.018,,,12300.549,2576.853,444.462,0.191,0.262
1928,2033160306.0,,3996.311,1.966,9322.984,132903.484,3307.581,567.589,82.623,,,12360.601,2593.703,449.111,0.196,0.268
1929,2052125441.0,,4288.21,2.09,9670.662,137191.688,3523.884,621.698,102.895,,,12770.862,2652.586,453.038,0.2,0.274
1930,2071786711.0,,3958.094,1.91,9396.154,141149.781,3216.251,599.784,104.225,,,12501.47,2655.139,456.083,0.204,0.279
1931,2092158599.0,,3539.319,1.692,9063.629,144689.109,2833.196,580.507,92.889,,,12156.92,2641.023,458.565,0.208,0.285
1932,2113215566.0,,3192.59,1.511,8757.925,147881.688,2522.37,555.986,88.22,,,11849.51,2637.263,460.978,0.212,0.29
1933,2134919626.0,,3362.682,1.575,8883.585,151244.375,2638.807,607.577,90.919,,,12021.46,2681.514,463.418,0.216,0.295
1934,2156892673.0,,3656.186,1.695,9230.619,154900.562,2880.47,643.636,101.952,,,12437.094,2747.974,465.98,0.22,0.301
1935,2179140887.0,,3835.741,1.76,9347.265,158736.297,2998.369,691.96,111.374,,,12606.813,2798.582,468.761,0.225,0.307
1936,2201762907.0,,4207.929,1.911,9852.772,162944.234,3287.721,753.446,125.532,,,13194.023,2877.57,471.857,0.229,0.313
1937,2224730578.0,,4496.713,2.021,10122.65,167440.938,3465.992,846.626,140.578,,,13529.76,2940.399,475.365,0.234,0.319
1938,2248127325.0,,4229.617,1.881,9895.467,171670.562,3230.586,822.813,135.497,,,13313.498,2947.51,479.381,0.238,0.325
1939,2270675197.0,,4470.132,1.969,10105.731,176140.703,3435.781,854.5,141.331,,,13585.188,3004.825,484.0,0.243,0.332
1940,2291979566.0,7646890024327.0,4884.662,2.131,10628.067,181025.359,3795.503,900.981,153.52,,,14177.45,3070.731,489.32,0.247,0.339
1941,2312098978.0,,4999.09,2.162,10890.24,186024.438,3885.963,912.337,153.463,,,14507.957,3122.709,506.843,0.252,0.346
1942,2331135363.0,,4982.523,2.137,10887.828,191006.969,3910.556,863.508,166.049,,,14578.645,3158.67,544.782,0.257,0.353
1943,2349014611.0,,5075.272,2.161,10969.573,196082.234,3926.686,926.591,182.9,,,14776.369,3221.97,598.293,0.262,0.36
1944,2366918849.0,,5162.486,2.181,10988.551,201244.719,3869.107,1068.786,197.601,,,14904.324,3267.549,662.533,0.267,0.367
1945,2384671779.0,,4289.312,1.799,10152.701,205534.031,2999.876,1045.789,216.7,,,14100.154,3229.961,732.66,0.272,0.374
1946,2402301767.0,,4608.545,1.918,10436.161,210142.578,3236.01,1108.431,223.837,,,14547.558,3323.815,803.829,0.276,0.381
1947,2421291820.0,,5165.204,2.133,10943.44,215307.781,3623.154,1246.469,247.893,,,15230.034,3433.029,871.198,0.281,0.388
1948,2441897177.0,,5447.883,2.231,11172.639,220755.672,3740.727,1370.552,280.127,,,15567.631,3481.768,929.925,0.286,0.396
1949,2467923023.0,,5204.033,2.109,10887.349,225959.703,3547.274,1293.929,300.46,,,15368.438,3522.194,975.165,0.291,0.403
1950,2493092852.0,8461551701531.0,5930.406,2.379,12584.438,231890.109,3879.955,1551.783,353.156,,,17047.688,3607.457,1002.077,0.297,0.412
