Year,zone,valeur
1959,N. Subtropics,0.05
1960,N. Subtropics,0.11
1961,N. Subtropics,0.18
1962,N. Subtropics,0.14
1963,N. Subtropics,0.13
1964,N. Subtropics,-0.11
1965,N. Subtropics,-0.12
1966,N. Subtropics,0.09
1967,N. Subtropics,-0.05
1968,N. Subtropics,-0.09
1969,N. Subtropics,-0.17
1970,N. Subtropics,-0.07
1971,N. Subtropics,-0.1
1972,N. Subtropics,-0.25
1973,N. Subtropics,0.01
1974,N. Subtropics,-0.18
1975,N. Subtropics,-0.05
1976,N. Subtropics,-0.28
1977,N. Subtropics,0.06
1978,N. Subtropics,-0.04
1979,N. Subtropics,0.08
1980,N. Subtropics,0.02
1981,N. Subtropics,0.08
1982,N. Subtropics,-0.09
1983,N. Subtropics,-0.07
1984,N. Subtropics,-0.14
1985,N. Subtropics,-0.02
1986,N. Subtropics,0.03
1987,N. Subtropics,0.12
1988,N. Subtropics,0.24
1989,N. Subtropics,0.25
1990,N. Subtropics,0.49
1991,N. Subtropics,0.26
1992,N. Subtropics,-0.03
1993,N. Subtropics,-0.11
1994,N. Subtropics,0.42
1995,N. Subtropics,0.32
1996,N. Subtropics,0.1
1997,N. Subtropics,0.23
1998,N. Subtropics,0.66
1999,N. Subtropics,0.74
2000,N. Subtropics,0.55
2001,N. Subtropics,0.68
2002,N. Subtropics,0.58
2003,N. Subtropics,0.54
2004,N. Subtropics,0.66
2005,N. Subtropics,0.57
2006,N. Subtropics,0.7
2007,N. Subtropics,0.69
2008,N. Subtropics,0.61
2009,N. Subtropics,0.68
2010,N. Subtropics,0.74
2011,N. Subtropics,0.58
2012,N. Subtropics,0.74
2013,N. Subtropics,0.69
2014,N. Subtropics,0.73
2015,N. Subtropics,0.99
2016,N. Subtropics,1.07
2017,N. Subtropics,1.03
2018,N. Subtropics,1.06
2019,N. Subtropics,1.0
2020,N. Subtropics,1.19
2021,N. Subtropics,1.27
2022,N. Subtropics,1.27
2023,N. Subtropics,1.47
2024,N. Subtropics,1.65
2025,N. Subtropics,1.53
1880,N. Tropics,-0.16
1881,N. Tropics,0.09
1882,N. Tropics,-0.06
1883,N. Tropics,-0.19
1884,N. Tropics,-0.14
1885,N. Tropics,-0.08
1886,N. Tropics,-0.23
1887,N. Tropics,-0.34
1888,N. Tropics,0.03
1889,N. Tropics,-0.02
1890,N. Tropics,-0.3
1891,N. Tropics,-0.02
1892,N. Tropics,-0.36
1893,N. Tropics,-0.45
1894,N. Tropics,-0.52
1895,N. Tropics,-0.17
1896,N. Tropics,0.01
1897,N. Tropics,0.1
1898,N. Tropics,-0.22
1899,N. Tropics,-0.19
1900,N. Tropics,0.06
1901,N. Tropics,-0.09
1902,N. Tropics,-0.05
1903,N. Tropics,-0.27
1904,N. Tropics,-0.47
1905,N. Tropics,-0.14
1906,N. Tropics,-0.23
1907,N. Tropics,-0.32
1908,N. Tropics,-0.45
1909,N. Tropics,-0.47
1910,N. Tropics,-0.51
1911,N. Tropics,-0.45
1912,N. Tropics,-0.31
1913,N. Tropics,-0.42
1914,N. Tropics,-0.14
1915,N. Tropics,-0.02
1916,N. Tropics,-0.51
1917,N. Tropics,-0.7
1918,N. Tropics,-0.4
1919,N. Tropics,-0.24
1920,N. Tropics,-0.39
1921,N. Tropics,-0.31
1922,N. Tropics,-0.34
1923,N. Tropics,-0.33
1924,N. Tropics,-0.28
1925,N. Tropics,-0.29
1926,N. Tropics,-0.01
1927,N. Tropics,-0.15
1928,N. Tropics,-0.16
1929,N. Tropics,-0.29
1930,N. Tropics,-0.1
1931,N. Tropics,0.09
1932,N. Tropics,-0.2
1933,N. Tropics,-0.29
1934,N. Tropics,-0.27
1935,N. Tropics,-0.18
1936,N. Tropics,-0.06
1937,N. Tropics,0.0
1938,N. Tropics,-0.19
1939,N. Tropics,-0.13
1940,N. Tropics,0.25
1941,N. Tropics,0.53
1942,N. Tropics,0.1
1943,N. Tropics,-0.12
1944,N. Tropics,0.1
1945,N. Tropics,0.1
1946,N. Tropics,-0.03
1947,N. Tropics,-0.03
1948,N. Tropics,-0.23
1949,N. Tropics,-0.23
1950,N. Tropics,-0.3
1951,N. Tropics,-0.01
1952,N. Tropics,-0.01
1953,N. Tropics,0.08
1954,N. Tropics,-0.14
1955,N. Tropics,-0.29
1956,N. Tropics,-0.29
1957,N. Tropics,0.06
1958,N. Tropics,0.26
1959,N. Tropics,0.07
1960,N. Tropics,0.06
1961,N. Tropics,-0.07
1962,N. Tropics,-0.04
1963,N. Tropics,0.13
1964,N. Tropics,-0.14
1965,N. Tropics,-0.08
1966,N. Tropics,0.16
1967,N. Tropics,-0.11
1968,N. Tropics,-0.02
1969,N. Tropics,0.35
1970,N. Tropics,0.06
1971,N. Tropics,-0.3
1972,N. Tropics,0.07
1973,N. Tropics,0.08
1974,N. Tropics,-0.23
1975,N. Tropics,-0.31
1976,N. Tropics,-0.13
1977,N. Tropics,0.1
1978,N. Tropics,0.1
1979,N. Tropics,0.26
1980,N. Tropics,0.33
1981,N. Tropics,0.22
1982,N. Tropics,0.25
1983,N. Tropics,0.29
1984,N. Tropics,0.07
1985,N. Tropics,0.04
1986,N. Tropics,0.18
1987,N. Tropics,0.55
1988,N. Tropics,0.32
1989,N. Tropics,0.07
1990,N. Tropics,0.38
1991,N. Tropics,0.33
1992,N. Tropics,0.2
1993,N. Tropics,0.29
1994,N. Tropics,0.28
1995,N. Tropics,0.4
1996,N. Tropics,0.31
1997,N. Tropics,0.5
1998,N. Tropics,0.6
1999,N. Tropics,0.16
2000,N. Tropics,0.21
2001,N. Tropics,0.4
2002,N. Tropics,0.55
2003,N. Tropics,0.61
2004,N. Tropics,0.56
2005,N. Tropics,0.62
2006,N. Tropics,0.57
2007,N. Tropics,0.45
2008,N. Tropics,0.33
2009,N. Tropics,0.65
2010,N. Tropics,0.72
2011,N. Tropics,0.39
2012,N. Tropics,0.48
2013,N. Tropics,0.58
2014,N. Tropics,0.69
2015,N. Tropics,0.98
2016,N. Tropics,0.96
2017,N. Tropics,0.86
2018,N. Tropics,0.74
2019,N. Tropics,0.91
2020,N. Tropics,0.88
2021,N. Tropics,0.72
2022,N. Tropics,0.63
2023,N. Tropics,1.08
2024,N. Tropics,1.22
2025,N. Tropics,0.85
1880,S. Tropics,-0.11
1881,S. Tropics,0.1
1882,S. Tropics,-0.05
1883,S. Tropics,-0.16
1884,S. Tropics,-0.17
1885,S. Tropics,-0.21
1886,S. Tropics,-0.19
1887,S. Tropics,-0.31
1888,S. Tropics,0.14
1889,S. Tropics,0.15
1890,S. Tropics,-0.47
1891,S. Tropics,-0.17
1892,S. Tropics,-0.26
1893,S. Tropics,-0.31
1894,S. Tropics,-0.2
1895,S. Tropics,-0.01
1896,S. Tropics,0.14
1897,S. Tropics,0.19
1898,S. Tropics,-0.27
1899,S. Tropics,-0.09
1900,S. Tropics,0.24
1901,S. Tropics,-0.03
1902,S. Tropics,-0.07
1903,S. Tropics,-0.35
1904,S. Tropics,-0.5
1905,S. Tropics,-0.07
1906,S. Tropics,-0.19
1907,S. Tropics,-0.32
1908,S. Tropics,-0.47
1909,S. Tropics,-0.54
1910,S. Tropics,-0.51
1911,S. Tropics,-0.46
1912,S. Tropics,-0.12
1913,S. Tropics,-0.16
1914,S. Tropics,-0.03
1915,S. Tropics,-0.03
1916,S. Tropics,-0.42
1917,S. Tropics,-0.59
1918,S. Tropics,-0.3
1919,S. Tropics,-0.18
1920,S. Tropics,-0.14
1921,S. Tropics,-0.23
1922,S. Tropics,-0.33
1923,S. Tropics,-0.29
1924,S. Tropics,-0.26
1925,S. Tropics,-0.22
1926,S. Tropics,0.01
1927,S. Tropics,-0.19
1928,S. Tropics,-0.17
1929,S. Tropics,-0.29
1930,S. Tropics,-0.13
1931,S. Tropics,0.05
1932,S. Tropics,-0.14
1933,S. Tropics,-0.29
1934,S. Tropics,-0.25
1935,S. Tropics,-0.2
1936,S. Tropics,-0.21
1937,S. Tropics,-0.12
1938,S. Tropics,-0.27
1939,S. Tropics,-0.13
1940,S. Tropics,0.29
1941,S. Tropics,0.43
1942,S. Tropics,0.03
1943,S. Tropics,-0.07
1944,S. Tropics,0.26
1945,S. Tropics,0.24
1946,S. Tropics,-0.08
1947,S. Tropics,-0.09
1948,S. Tropics,-0.14
1949,S. Tropics,-0.15
1950,S. Tropics,-0.28
1951,S. Tropics,-0.12
1952,S. Tropics,0.04
1953,S. Tropics,0.06
1954,S. Tropics,-0.29
1955,S. Tropics,-0.38
1956,S. Tropics,-0.37
1957,S. Tropics,0.1
1958,S. Tropics,0.15
1959,S. Tropics,0.08
1960,S. Tropics,-0.02
1961,S. Tropics,0.0
1962,S. Tropics,-0.05
1963,S. Tropics,0.1
