Year,zone,valeur
1898,N. Temperate,-0.26
1899,N. Temperate,-0.11
1900,N. Temperate,-0.18
1901,N. Temperate,-0.13
1902,N. Temperate,-0.53
1903,N. Temperate,-0.44
1904,N. Temperate,-0.62
1905,N. Temperate,-0.25
1906,N. Temperate,-0.08
1907,N. Temperate,-0.74
1908,N. Temperate,-0.56
1909,N. Temperate,-0.64
1910,N. Temperate,-0.25
1911,N. Temperate,-0.43
1912,N. Temperate,-0.8
1913,N. Temperate,-0.34
1914,N. Temperate,-0.18
1915,N. Temperate,-0.18
1916,N. Temperate,-0.56
1917,N. Temperate,-0.52
1918,N. Temperate,-0.29
1919,N. Temperate,-0.57
1920,N. Temperate,-0.22
1921,N. Temperate,0.16
1922,N. Temperate,-0.42
1923,N. Temperate,-0.16
1924,N. Temperate,-0.26
1925,N. Temperate,0.16
1926,N. Temperate,0.15
1927,N. Temperate,-0.23
1928,N. Temperate,-0.18
1929,N. Temperate,-0.62
1930,N. Temperate,0.04
1931,N. Temperate,-0.04
1932,N. Temperate,0.19
1933,N. Temperate,-0.47
1934,N. Temperate,0.31
1935,N. Temperate,-0.05
1936,N. Temperate,0.11
1937,N. Temperate,0.03
1938,N. Temperate,0.39
1939,N. Temperate,0.28
1940,N. Temperate,-0.02
1941,N. Temperate,-0.1
1942,N. Temperate,-0.07
1943,N. Temperate,0.28
1944,N. Temperate,0.47
1945,N. Temperate,-0.02
1946,N. Temperate,-0.05
1947,N. Temperate,-0.13
1948,N. Temperate,0.32
1949,N. Temperate,0.17
1950,N. Temperate,-0.3
1951,N. Temperate,0.01
1952,N. Temperate,-0.09
1953,N. Temperate,0.36
1954,N. Temperate,-0.21
1955,N. Temperate,-0.11
1956,N. Temperate,-0.48
1957,N. Temperate,0.22
1958,N. Temperate,0.14
1959,N. Temperate,0.18
1960,N. Temperate,-0.07
1961,N. Temperate,0.37
1962,N. Temperate,0.3
1963,N. Temperate,0.31
1964,N. Temperate,-0.2
1965,N. Temperate,-0.24
1966,N. Temperate,-0.19
1967,N. Temperate,0.26
1968,N. Temperate,-0.02
1969,N. Temperate,-0.61
1970,N. Temperate,-0.13
1971,N. Temperate,0.01
1972,N. Temperate,-0.47
1973,N. Temperate,0.27
1974,N. Temperate,-0.07
1975,N. Temperate,0.39
1976,N. Temperate,-0.32
1977,N. Temperate,0.24
1978,N. Temperate,0.04
1979,N. Temperate,0.07
1980,N. Temperate,0.02
1981,N. Temperate,0.79
1982,N. Temperate,0.09
1983,N. Temperate,0.69
1984,N. Temperate,0.08
1985,N. Temperate,-0.26
1986,N. Temperate,0.28
1987,N. Temperate,0.13
1988,N. Temperate,0.57
1989,N. Temperate,0.69
1990,N. Temperate,0.88
1991,N. Temperate,0.66
1992,N. Temperate,0.44
1993,N. Temperate,0.29
1994,N. Temperate,0.5
1995,N. Temperate,0.98
1996,N. Temperate,0.17
1997,N. Temperate,0.9
1998,N. Temperate,0.94
1999,N. Temperate,0.8
2000,N. Temperate,0.8
2001,N. Temperate,0.86
2002,N. Temperate,1.0
2003,N. Temperate,0.98
2004,N. Temperate,0.95
2005,N. Temperate,1.22
2006,N. Temperate,1.06
2007,N. Temperate,1.32
2008,N. Temperate,1.07
2009,N. Temperate,0.6
2010,N. Temperate,0.87
2011,N. Temperate,0.94
2012,N. Temperate,0.93
2013,N. Temperate,1.04
2014,N. Temperate,1.14
2015,N. Temperate,1.48
2016,N. Temperate,1.43
2017,N. Temperate,1.38
2018,N. Temperate,1.09
2019,N. Temperate,1.43
2020,N. Temperate,1.8
2021,N. Temperate,1.36
2022,N. Temperate,1.5
2023,N. Temperate,1.86
2024,N. Temperate,1.95
2025,N. Temperate,1.99
1880,N. Subtropics,-0.3
1881,N. Subtropics,-0.21
1882,N. Subtropics,-0.17
1883,N. Subtropics,-0.27
1884,N. Subtropics,-0.48
1885,N. Subtropics,-0.47
1886,N. Subtropics,-0.41
1887,N. Subtropics,-0.3
1888,N. Subtropics,-0.25
1889,N. Subtropics,-0.28
1890,N. Subtropics,-0.28
1891,N. Subtropics,-0.36
1892,N. Subtropics,-0.17
1893,N. Subtropics,-0.46
1894,N. Subtropics,-0.18
1895,N. Subtropics,-0.27
1896,N. Subtropics,-0.23
1897,N. Subtropics,-0.25
1898,N. Subtropics,-0.24
1899,N. Subtropics,-0.15
1900,N. Subtropics,-0.16
1901,N. Subtropics,-0.15
1902,N. Subtropics,-0.32
1903,N. Subtropics,-0.57
1904,N. Subtropics,-0.56
1905,N. Subtropics,-0.63
1906,N. Subtropics,-0.39
1907,N. Subtropics,-0.52
1908,N. Subtropics,-0.51
1909,N. Subtropics,-0.44
1910,N. Subtropics,-0.49
1911,N. Subtropics,-0.47
1912,N. Subtropics,-0.5
1913,N. Subtropics,-0.51
1914,N. Subtropics,-0.28
1915,N. Subtropics,-0.18
1916,N. Subtropics,-0.24
1917,N. Subtropics,-0.43
1918,N. Subtropics,-0.35
1919,N. Subtropics,-0.3
1920,N. Subtropics,-0.35
1921,N. Subtropics,-0.1
1922,N. Subtropics,-0.14
1923,N. Subtropics,-0.26
1924,N. Subtropics,-0.23
1925,N. Subtropics,-0.19
1926,N. Subtropics,-0.22
1927,N. Subtropics,-0.13
1928,N. Subtropics,-0.23
1929,N. Subtropics,-0.38
1930,N. Subtropics,-0.11
1931,N. Subtropics,-0.14
1932,N. Subtropics,-0.22
1933,N. Subtropics,-0.13
1934,N. Subtropics,-0.13
1935,N. Subtropics,-0.17
1936,N. Subtropics,-0.26
1937,N. Subtropics,-0.03
1938,N. Subtropics,0.03
1939,N. Subtropics,0.08
1940,N. Subtropics,-0.1
1941,N. Subtropics,0.08
1942,N. Subtropics,0.05
1943,N. Subtropics,0.11
1944,N. Subtropics,0.1
1945,N. Subtropics,0.04
1946,N. Subtropics,0.17
1947,N. Subtropics,0.04
1948,N. Subtropics,0.01
1949,N. Subtropics,0.05
1950,N. Subtropics,0.04
1951,N. Subtropics,0.12
1952,N. Subtropics,0.19
1953,N. Subtropics,0.14
1954,N. Subtropics,0.0
1955,N. Subtropics,0.24
1956,N. Subtropics,-0.08
1957,N. Subtropics,-0.11
1958,N. Subtropics,0.13
